transcript,language,timestamp,user_id
"मेरे बॉयफ्रेंड ने मुझसे झगड़ा किया और फिर ब्लॉक कर दिया।",hi,2024-05-02T13:12:00,user_102
"मैंने जिस दोस्त पर भरोसा किया था, उसने मुझे धोखा दिया।",hi,2024-05-02T14:20:00,user_103
"किसी ने मेरे सोशल मीडिया अकाउंट से गलत पोस्ट कर दी।",hi,2024-05-03T09:00:00,user_104
"किसी अजनबी ने मुझे ऑनलाइन परेशान किया।",hi,2024-05-03T10:45:00,user_105
"मैं अपनी पढ़ाई और रिश्तों के बीच संतुलन नहीं बना पा रहा हूँ।",hi,2024-05-04T11:30:00,user_106
"मेरे माता-पिता मेरी पसंद के खिलाफ हैं।",hi,2024-05-04T15:10:00,user_107
"मुझे अपने करियर को लेकर बहुत चिंता हो रही है।",hi,2024-05-05T08:20:00,user_108
"मेरे दोस्त ने मेरी निजी बात दूसरों को बता दी।",hi,2024-05-05T12:50:00,user_109
"मैं सोशल मीडिया की वजह से बहुत तनाव में हूँ।",hi,2024-05-06T14:30:00,user_110
"मुझे लग रहा है कि कोई मुझे लगातार फॉलो कर रहा है।",hi,2024-05-06T17:15:00,user_111
